Hats		
ID	Name	Description
1000000	Blue Beanie	
1000001	Fine Black Hanbok Hat	
1000002	Fine Blue Hanbok Hat	
1000003	Scream Mask	
1000004	Old School Uniform Hat	
1000005	Men's Ninja Hat	
1000006	Samurai Hair-do	
1000007	Hat of Death	
1000008	Detective Hat	
1000009	Mesoranger Red Helmet	
1000010	Mesoranger Blue Helmet	
1000011	Mesoranger Green Helmet	
1000012	Mesoranger Black Helmet	
1000013	Yellow Crown	
1000014	Green Crown	
1000015	Blue Crown	
1000016	Red Crown	
1000017	Van Hat	
1000018	Kuniragi Hat	
1000019	Goya Hat 3	
1000020	Chief Hat	
1000021	General's Wig	
1000022	General's Wig	
1000023	Race Ace Cap	
1000025	Pilgrim Hat	
1000026	Santa Boy Hat	
1000027	Lunar Celebration Cap	
1000029	Wedding veil	
1000030	Sachiel Wig (M)	
1000031	Veamoth Wig (M)	
1000032	Janus Wig (M)	
1001000	Orange Beanie	
1001001	Hanbok Jobawi	
1001002	Witch Hat	
1001003	Pink Nurse Hat	
1001004	White Nurse Hat	
1001005	Women's Ninja Hat	
1001006	SF Ninja Hat	
1001007	Female Wig	
1001008	A Ladylike Hat	
1001009	Ribbon	
1001010	Teddy Bear Hat	
1001011	Strawberry Headgear	
1001012	Tiara	
1001013	Beret	
1001014	Mesoranger Pink Helmet	
1001015	Mesoranger Yellow Helmet	
1001016	Mesoranger Black Helmet	
1001017	Princess Tiara	
1001018	Lady Blue	
1001019	Lady Pink	
1001020	Lady Yellow	
1001021	The Gabera Hat	
1001022	Van Hat w/ Heart	
1001023	Picnic Hat	
1001024	Diamond Tiara	
1001025	Ruby Tiara	
1001026	Red-Feathered Indian Bandana	
1001027	Blue-Feathered Indian Bandana	
1001028	Jami Wig	
1001029	Yellow Bride's Veil	Flowing veil that brides wear on their Wedding Day.
1001030	Diao Chan Headpiece	
1001031	White Cat Ears	
1001032	Black Cat Ears	
1001033	Maid Hat	
1001035	Maplehontas	
1001036	Santa Girl Hat	
1001037	Leopard Print Hat	
1001038	Korean Dress Wig	
1001039	Lunar Celebration Ornament	
1001042	Purple Bride's Veil	Flowing veil that brides wear on their Wedding Day.
1001043	Royal Tiara	Hand crafted Tiara that brides wear on their Wedding Day
1001044	Green Bride's Veil	Flowing veil that brides wear on their Wedding Day.
1001045	Sachiel Wig (F)	
1001046	Veamoth Wig (F)	
1001047	Janus Wig (F)	
1001048	Gothic Mini Hat	
1001049	Gothic Headband	
1002000	Brown Flight Headgear	
1002001	Metal Gear	
1002002	Metal Koif	
1002003	Steel Helmet	
1002004	Great Brown Helmet	
1002005	Iron Burgernet Helm	
1002006	Bone Helm	
1002007	Steel Full Helm	
1002008	Brown Skullcap	
1002009	Steel Football Helmet	
1002010	Brown Winter Hat	
1002011	Iron Viking Helm	
