Shirts		
ID	Name	Description
1040000	Yellow Jangoon Armor	
1040001	Black Blazer	
1040002	White Undershirt	
1040003	Brown Hard Leather Top	
1040004	Blue Training Shirt	
1040005	Orange Baseball Jacket	
1040006	Undershirt	
1040007	Green Leather Hoodwear	
1040008	Brown Archer Top	
1040009	Steel Corporal	
1040010	Grey T-Shirt	
1040011	Silver Leather Hoodwear	
1040012	Blue Sergeant	
1040013	Blue One-lined T-Shirt	
1040014	Orange Sporty T-Shirt	
1040015	Brown Lolico Armor	
1040016	Orihalcon Master Sergeant	
1040017	Grey / Brown Training Shirt	
1040018	Black Split Piece	
1040019	Orange Split Piece	
1040020	Blue Split Piece	
1040021	Red Hwarang Shirt	
1040022	Green Bennis Chainmail	
1040023	Black Bennis Chainmail	
1040024	Blue Bennis Chainmail	
1040025	Red Bennis Chainmail	
1040026	Green Hwarang Shirt	
1040027	Old School Blazer	
1040028	Blue Sky	
1040029	Blue Dragon	
1040030	Gold Dragon	
1040031	Blue Cloth Vest	
1040032	Red Cloth Vest	
1040033	Black Cloth Vest	
1040034	Dark Nightshift	
1040035	Blue Nightshift	
1040036	Blue-Striped Undershirt	
1040037	Brown Corporal	
1040038	Blue Lolico Armor	
1040039	Red Sergeant	
1040040	Silver Master Sergeant	
1040041	Dark Master Sergeant	
1040042	Blue Pao	
1040043	Red Pao	
1040044	Black Pao	
1040045	Red Rider	
1040046	Shine Rider	
1040047	Dark Rider	
1040048	Brown Sneak	
1040049	Blue Sneak	
1040050	Black Sneak	
1040051	Blue Striped Trainer	
1040052	Green Striped Trainer	
1040053	Orange Striped Trainer	
1040054	Green Disco Shirt	
1040055	Orange Disco Shirt	
1040056	Original Disco Shirt	
1040057	Dark Brown Stealer	
1040058	Dark Silver Stealer	
1040059	Red Gold Stealer	
1040060	Silver Black Stealer	
1040061	Green Knucklevest	
1040062	Red Knucklevest	
1040063	Black Knucklevest	
1040064	Wild Top	
1040065	Brown Wild Top	
1040066	Red Wild Top	
1040067	Green Hunter's Armor	
1040068	Dark Hunter's Armor	
1040069	Red Hunter's Armor	
1040070	Blue Hunter's Armor	
1040071	Green Archer Top	
1040072	Red Legolier	
1040073	Blue Legolier	
1040074	Green Legolier	
1040075	Dark Legolier	
1040076	Brown Legolier	
1040077	Cowboy Top	
1040078	Pre-School Uniform Top	
1040079	Brown Piette	
1040080	Dark Piette	
1040081	White Piette	
1040082	Khaki Shadow	
1040083	Marine Shadow	
1040084	Dark Shadow	
1040085	Maroon Jangoon Armor	
1040086	Blue Jangoon Armor	
1040087	Blue Shouldermail	
1040088	Oaker Shouldermail	
1040089	Umber Shouldermail	
1040090	Green Orientican	
1040091	Red Orientican	
1040092	Blue Orientican	
1040093	Dark Orientican	
1040094	Red China	
1040095	Blue China	
1040096	Brown China	
1040097	Green China	
1040098	Light Scorpio	
1040099	Oaker Scorpio	
1040100	Dark Scorpio	
1040101	Skull T-Shirt	
1040102	Bronze Platine	
1040103	Mithril Platine	
1040104	Orihalcon Platine	
1040105	Brown Studded Top	
1040106	Blue Studded Top	
1040107	Dark Studded Top	
1040108	Green Pirate Top	
1040109	Red Pirate Top	
1040110	Dark Pirate Top	
1040111	Green Commodore	
1040112	Blue Commodore	
1040113	Dark Commodore	
1040114	Hawaiian Shirt	
1040115	Green Osfa Suit	
1040116	Brown Osfa Suit	
1040117	Purple Osfa Suit	
1040118	Red Osfa Suit	
1040119	Ragged Top	
1040120	Green Neos	
1040121	Blue Neos	
1040122	Black Neos	
1040123	Prep School Uniform	
1040124	Crusader T-Shirt	
1040125	Military Cargo Jacket	
1040126	Yellow Frill Sleeveless	
1040127	Blue Heart Tanktop	
