Overalls		
ID	Name	Description
1050000	White Crusader Chainmail	
1050001	Brown Doros Robe	
1050002	Blood Chaos Robe	
1050003	Blue Wizard Robe	
1050004	Blue Officer Uniform	
1050005	Blue Kendo Robe	
1050006	Red Kendo Robe	
1050007	White Kendo Robe	
1050008	Beige Plain Robe	
1050009	Blue Plain Robe	
1050010	Green Plain Robe	
1050011	Black Dragon Robe	
1050012	Grey Skull Overall	
1050013	Red Skull Overall	
1050014	Green Skull Overall	
1050015	Blue Skull Overall	
1050016	Orange Skull Overall	
1050017	Yellow Tights	
1050018	Blue Sauna Robe	If worn inside the hotel sauna, the recovery rate for HP and MP will increase 1.5x.
1050019	Santa Costume	
1050020	Paper Box	
1050021	Blue Crusader Chainmail	
1050022	Dark Crusader Chainmail	
1050023	Blue Doros Robe	
1050024	Yellow Doros Robe	
1050025	White Doros Robe	
1050026	White Wizard Robe	
1050027	Black Wizard Robe	
1050028	Green Wizard Robe	
1050029	Dark Chaos Robe	
1050030	Blue Chaos Robe	
1050031	White Chaos Robe	
1050032	Silver Officer Uniform	
1050033	Black Officer Uniform	
1050034	Red Officer Uniform	
1050035	Brown Starlight	
1050036	Red Starlight	
1050037	Green Starlight	
1050038	Blue Starlight	
1050039	Dark Starlight	
1050040	Red Swimming Trunk	
1050041	Blue Swimming Trunk	
1050042	Fine Brown Hanbok	
1050043	Fine Black Hanbok	
1050044	Fine Blue Hanbok	
1050045	Blue Calas	
1050046	Red Calas	
1050047	Orange Calas	
1050048	White Calas	
1050049	Dark Calas	
1050050	Dark Suit	
1050051	Red-Lined Kismet	
1050052	Blue-Lined Kismet	
1050053	Blue Anakamoon	
1050054	Red Anakamoon	
1050055	White Anakamoon	
1050056	Dark Anakamoon	
1050057	Ghost Uniform	
1050058	Orange Tai	
1050059	Blue Tai	
1050060	Red Tai	
1050061	Blue Linnex	
1050062	Beige Linnex	
1050063	Green Linnex	
1050064	Dark Linnex	
1050065	Blue Celebration Hanbok	
1050066	Green Celebration Hanbok	
1050067	Blue Requiem	
1050068	Red Requiem	
1050069	Brown Requiem	
1050070	Dark Requiem	
1050071	Men's Ninja Overall	
1050072	Green Enigmatic	
1050073	Blue Enigmatic	
1050074	Dark Enigmatic	
1050075	Red Pris	
1050076	Blue Pris	
1050077	Green Pris	
1050078	Dark Pris	
1050079	Black Coat of Death	
1050080	Green Battle Road	
1050081	Red Battle Road	
1050082	Blue Battle Road	
1050083	Dark Battle Road	
1050084	Red Mesoranger	
