Pants		
ID	Name	Description
1060000	Black Jangoon Pants	
1060001	Black Suit Pants	
1060002	Blue Jean Shorts	
1060003	Military Shorts	
1060004	Grey Thick Sweat Pants	
1060005	Camo Pants	
1060006	Brown Cotton Shorts	
1060007	Blue Clamdiggers	
1060008	Brown Lolico Pants	
1060009	Steel Corporal Pants	
1060010	Steel Sergeant Kilt	
1060011	Orihalcon Master Sergeant Kilt	
1060012	Blue Training Pants	
1060013	Grey / Brown Training Pants	
1060014	Black Split Pants	
1060015	White Split Pants	
1060016	Black Martial Arts Pants	
1060017	White Martial Arts Pants	
1060018	Red Martial Arts Pants	
1060019	Brown Martial Arts Pants	
1060020	White Martial Arts Shorts	
1060021	Blue Cloth Pants	
1060022	Red Cloth Pants	
1060023	Black Cloth Pants	
1060024	Dark Nightshift Pants	
1060025	Blue Nightshift Pants	
1060026	Blue-Striped Boxers	
1060027	Brown Corporal Pants	
1060028	Blue Lolico Pants	
1060029	Red Sergeant Kilt	
1060030	Dark Master Sergeant Kilt	
1060031	Blue Pao Bottom	
1060032	Red Pao Bottom	
1060033	Black Pao Bottom	
1060034	Blue Rider Pants	
1060035	Shine Rider Pants	
1060036	Dark Rider Pants	
1060037	Dark Brown Sneak Pants	
1060038	Brown Sneak Pants	
1060039	Black Sneak Pants	
1060040	Blue Trainer Pants	
1060041	Green Trainer Pants	
1060042	Orange Trainer Pants	
1060043	Dark Brown Stealer Pants	
1060044	Dark Silver Stealer Pants	
1060045	Red / Gold Stealer Pants	
1060046	Silver / Black Stealer Pants	
1060047	Original Disco Pants	
1060048	Green Disco Pants	
1060049	Blue Disco Pants	
1060050	Blue Knucklevest Pants	
1060051	Red Knucklevest Pants	
1060052	Black Knucklevest Pants	
1060053	Wild Pants	
1060054	Brown Wild Pants	
1060055	Red Wild Pants	
1060056	Green Hunter's Pants	
1060057	Dark Hunter's Pants	
1060058	Red Hunter's Pants	
1060059	Blue Hunter's Pants	
1060060	Silver Master Sergeant Kilt	
1060061	Red Legolier Pants	
1060062	Blue Legolier Pants	
1060063	Green Legolier Pants	
1060064	Dark Legolier Pants	
1060065	Brown Legolier Pants	
1060066	Cowboy Pants	
1060067	Preschool Pants	
1060068	Dark Piette Pants	
1060069	Brown Piette Pants	
1060070	Blue Piette Pants	
1060071	Khaki Shadow Pants	
1060072	Marine Shadow Pants	
1060073	Dark Shadow Pants	
1060074	White Jangoon Pants	
1060075	Brown Jangoon Pants	
1060076	Blue Shouldermail Pants	
1060077	Oaker Shouldermail Pants	
1060078	Umber Shouldermail Pants	
1060079	Green Orientican Pants	
1060080	Red Orientican Pants	
1060081	Blue Orientican Pants	
1060082	Dark Orientican Pants	
1060083	Red China Pants	
1060084	Blue China Pants	
