Weapons		
ID	Name	Description
1302000	Sword	
1302001	Saw	
1302002	Viking Sword	
1302003	Eloon	
1302004	Cutlus	
1302005	Sabre	
1302006	Machete	
1302007	Long Sword	
1302008	Gladius	
1302009	Traus	
1302010	Jeweled Katar	
1302011	Neocora	
1302012	Red Katana	
1302013	Red Whip	
1302014	Old Gladius	
1302015	Hero's Gladius	
1302016	Yellow Umbrella	
1302017	Sky Blue Umbrella	
1302018	Khan	
1302019	Nameless Sword	
1302020	Maple Sword	
1302021	Pico-Pico Hammer	
1302022	Bamboo Sword	
1302023	Fraute	
1302024	Newspaper Sword	
1302025	Red Umbrella	
1302026	Black Umbrella	
1302027	Green Umbrella	
1302028	Light Purple Umbrella	
1302029	Beige Umbrella	
1302030	Maple Soul Singer	
1302031	Diao Chan Sword	
1302032	Hwa Ryung Ji Gum	
1302033	Maple Flag	
1302034	Pumpkin Basket	
1302035	Maple Flag : 1000 Days	
1302036	Maple Flag : 1000 Days	
1302037	Trumpet	
1302038	Gladius	
1302039	Jeweled Katar	
1302040	Neocora	
1302041	Red Katana	
1302042	Khan	
1302043	Gladius	
1302044	Jeweled Katar	
1302045	Neocora	
1302046	Red Katana	
1302047	Khan	
1302049	Glowing Whip	
1302050	Gladius	#cInternet Cafe-only item. Disappears after exiting the game.\n#
1302051	Jeweled Katar	#cInternet Cafe-only item. Disappears after exiting the game.\n#
1302052	Neocora	#cInternet Cafe-only item. Disappears after exiting the game.\n#
1302053	Red Katana	#cInternet Cafe-only item. Disappears after exiting the game.\n#
1302054	Khan	#cInternet Cafe-only item. Disappears after exiting the game.\n#
1302056	Sparta	
1302057	The Stars and Stripes	
1302058	Maple Umbrella	
1302059	Dragon Carabella	
1302060	Huckle's Lamp	
1302062	Pumpkin Basket (2006 SE)	
1302063	Flaming Katana	
1302064	Maple Glory Sword	
1302065	Blue Maple Flag	
1302066	Maple 1500 Anniv. Flag	
1302067	Maple 1500 Anniv. Flag	
1302068	Onyx Blade	
1302069	Komodo Sword	
1302071	Pink Flower Tube	
1302073	Singapore Flag (Beginner)	
1302074	Malaysia Flag (Beginner)	
1302075	Singapore Flag (One Handed Sword)	
1302076	Malaysia Flag (One Handed Sword)	
1302077	Beginner Warrior's sword	
1302079	Astral Blade	One of the Glimmer Man's custom weapons, this powerful blade is said to harness the very power of the stars.
1302080	Maplemas Lights	
1312000	Double Axe	
1312001	Battle Axe	
1312002	Scythe	
1312003	Misthil Axe	
1312004	Hand Axe	
1312005	Fireman's Axe	
1312006	Dankke	
1312007	Blue Counter	
1312008	Buck	
1312009	Hawkhead	
1312010	Mikhail	
1312011	Gaea	
1312012	Hula Hoop	
1312013	Green Paint Brush	
1312014	Black Paint Brush	
1312015	Vifennis	
1312016	Contra Axe	
1312017	Chief Axe	
1312018	Buck	
1312019	Hawkhead	
1312020	Mikhail	
1312021	Gaea	
1312022	Buck	
1312023	Hawkhead	
1312024	Mikhail	
1312025	Gaea	
1312026	Buck	#cInternet Cafe-only item. Disappears after exiting the game.\n#
1312027	Hawkhead	#cInternet Cafe-only item. Disappears after exiting the game.\n#
1312028	Mikhail	#cInternet Cafe-only item. Disappears after exiting the game.\n#
1312029	Gaea	#cInternet Cafe-only item. Disappears after exiting the game.\n#
1312030	Tomahawk	
1312031	Dragon Axe	
1312032	Maple Steel Axe	
1312033	Maple 1500 Anniv. Flag	
1312034	Pink Flower Tube	
1322000	Mace	
1322001	Hammer	
1322002	Iron Mace	
1322003	Lollipop	
1322004	Fusion Mace	
1322005	Wooden Club	
1322006	Steel Pipe	
1322007	Leather Purse	
1322008	Hard Briefcase	
1322009	Plunger	
1322010	Square Shovel	
1322011	Pointed Shovel	
1322012	Red Brick	
1322013	Wizet Secret Agent Suitcase	
1322014	War Hammer	
1322015	Heavy Hammer	
1322016	Jacker	
1322017	Knuckle Mace	
1322018	Tamus	
1322019	The Judgement	
1322020	Bent Judgement	
1322021	Black Tube	
1322022	Red Flowery Tube	
1322023	Blue Flowery Tube	
1322024	Purple Tube	
1322025	Emergency Rescue Tube	
1322026	Colorful Tube	
1322027	Frying Pan	
1322028	Heaven's Justice	
1322029	Ruin Hammer	
1322030	M Purse	
1322031	Pig Illustrated	
1322032	Iron Hammer	
1322033	Goblin Bat	
1322034	Chul Jil To Gol Ta	
1322035	War Hammer	
1322036	Knuckle Mace	
1322037	Tamus	
1322038	The Judgement	
1322039	Heaven's Justice	
1322040	War Hammer	
1322041	Knuckle Mace	
1322042	Tamus	
1322043	The Judgement	
1322044	Heaven's Justice	
1322045	Battle Hammer	
1322046	War Hammer	#cInternet Cafe-only item. Disappears after exiting the game.\n#
1322047	Knuckle Mace	#cInternet Cafe-only item. Disappears after exiting the game.\n#
1322048	Tamus	#cInternet Cafe-only item. Disappears after exiting the game.\n#
1322049	The Judgement	#cInternet Cafe-only item. Disappears after exiting the game.\n#
1322050	Heaven's Justice	#cInternet Cafe-only item. Disappears after exiting the game.\n#
1322051	Fruity Bamboo	
1322052	Dragon Mace	
1322053	Golden Mace	
1322054	Maple Havoc Hammer	
1322055	Maple 1500 Anniv. Flag	
1322056	Pink Flower Tube	
1322059	Cosmic Scepter	One of the Glimmer Man's custom weapons, this massive mace has an antimatter core which gives it exceptional striking power.
1332000	Triangular Zamadar	
1332001	Halfmoon Zamadar	
1332002	Triple-Tipped Zamadar	
1332003	Shinkita	
1332004	Forked Dagger	
1332005	Razor	
1332006	Field Dagger	
1332007	Fruit Knife	
1332008	Coconut Knife	
1332009	Cass	
1332010	Iron Dagger	
1332011	Bazlud	
1332012	Reef Claw	
1332013	Stinger	
1332014	Gephart	
1332015	Deadly Fin	
1332016	Sai	
1332017	Serpent's Coil	
1332018	Kandine	
1332019	Golden River	
1332020	Korean Fan	
1332021	Plastic Bottle	
1332022	Angelic Betrayal	
1332023	Dragon's Tail	
1332024	Bushido	
1332025	Maple Wagner	
1332026	Cursayer	
1332027	Varkit	
1332029	Liu Bei Dagger	
1332030	Fan	
1332031	Dragon Toenail	
1332032	Christmas Tree	
1332033	Reef Claw	
1332034	Shinkita	
1332035	Deadly Fin	
1332036	Kandine	
1332037	Dragon's Tail	
1332038	Reef Claw	
1332039	Shinkita	
1332040	Deadly Fin	
1332041	Kandine	
1332042	Dragon's Tail	
1332043	Reef Claw	#cInternet Cafe-only item. Disappears after exiting the game.\n#
1332044	Shinkita	#cInternet Cafe-only item. Disappears after exiting the game.\n#
1332045	Deadly Fin	#cInternet Cafe-only item. Disappears after exiting the game.\n#
1332046	Kandine	#cInternet Cafe-only item. Disappears after exiting the game.\n#
1332047	Dragon's Tail	#cInternet Cafe-only item. Disappears after exiting the game.\n#
1332049	Dragon Kanzir	
1332050	Dragon Kreda	
1332051	Gold Double Knife	
1332052	Blood Dagger	
1332053	Kebob	
1332054	Diamond Dagger	
1332055	Maple Dark Mate	
1332056	Maple Asura Dagger	
1332057	Maple 1500 Anniv. Flag	
1332058	Darkstar Dagger	
1332059	Pink Flower Tube	
1332063	Beginner Thief's short sword	
1332064	Nebula Dagger 1 (LUK)	One of the Glimmer Man's custom weapons, this swift dagger is said to strike with the power of a supernova.
1332065	Nebula Dagger 2 (STR)	One of the Glimmer Man's custom weapons, this swift dagger is said to strike with the power of a supernova.
1372000	Fairy Wand	
1372001	Wizard Wand	
1372002	Metal Wand	
1372003	Mithril Wand	
1372004	Ice Wand	
1372005	Wooden Wand	
1372006	Hardwood Wand	
1372007	Cromi	
1372008	Hinomaru Fan	
1372009	Magicodar	
1372010	Dimon Wand	
1372011	Zhu-Ge-Liang Wand	
1372012	Crystal Wand	
1372014	Evil Tale	
1372015	Angel Wings	
1372016	Phoenix Wand	
1372017	Streetlight	
1372018	Wizard Wand	
1372019	Cromi	
1372020	Evil Tale	
1372021	Angel Wings	
1372022	Wizard Wand	
1372023	Cromi	
1372024	Evil Tale	
1372025	Angel Wings	
1372027	Wizard Wand	#cInternet Cafe-only item. Disappears after exiting the game.\n#
1372028	Cromi	#cInternet Cafe-only item. Disappears after exiting the game.\n#
1372029	Evil Tale	#cInternet Cafe-only item. Disappears after exiting the game.\n#
1372030	Angel Wings	#cInternet Cafe-only item. Disappears after exiting the game.\n#
1372031	Heart Staff	
1372032	Dragon Wand	
1372033	Heart Wand	
1372034	Maple Shine Wand	
1372043	Beginner Magician's wand	
1382000	Wooden Staff	
1382001	Arc Staff	
1382002	Wizard Staff	
1382003	Sapphire Staff	
1382004	Old Wooden Staff	
1382005	Emerald Staff	
1382006	Thorns	
1382007	Evil Wings	
1382008	Kage	
1382009	Maple Staff	
1382010	Dark Ritual	
1382011	Mystic Cane	
1382012	Maple Lama Staff	
1382013	Hwa Ryung Ji Jang	
1382014	Sun Quan Staff	
1382015	Poison Mushroom	
1382016	Pyogo Mushroom	
1382017	Circle-Winded Staff	
1382018	Petal Staff	
1382019	Hall Staff	
1382020	Arc Staff	
1382021	Thorns	
1382022	Evil Wings	
1382023	Dark Ritual	
1382024	Kage	
1382025	Arc Staff	
1382026	Thorns	
1382027	Evil Wings	
1382028	Dark Ritual	
1382029	Kage	
1382030	Arc Staff	#cInternet Cafe-only item. Disappears after exiting the game.\n#
1382031	Thorns	#cInternet Cafe-only item. Disappears after exiting the game.\n#
1382032	Evil Wings	#cInternet Cafe-only item. Disappears after exiting the game.\n#
1382033	Dark Ritual	#cInternet Cafe-only item. Disappears after exiting the game.\n#
1382034	Kage	#cInternet Cafe-only item. Disappears after exiting the game.\n#
1382035	Blue Marine	
1382036	Dragon Staff	
1382037	Doomsday Staff	
1382039	Maple Wisdom Staff	
1382040	Maple 1500 Anniv. Flag	
1382041	Nocturnal Staff	
1382042	Pink Flower Tube	
1382053	Celestial Staff	One of the Glimmer Man's custom weapons, this staff contains concentrated chaos magic for devastating effects!
1402000	Two-Handed Sword	
1402001	Wooden Sword	
1402002	Scimitar	
1402003	Lion's Fang	
1402004	Blue Screamer	
1402005	Berzerker	
1402006	Lionheart	
1402007	Zard	
1402008	Broadsword	
1402009	Wooden Baseball Bat	
1402010	Aluminum Baseball Bat	
1402011	Sparta	
1402012	Doombringer	
1402013	Japanese Map	
1402014	Thermometer	
1402015	Heaven's Gate	
1402016	Devil's Sunrise	
1402017	Daiwa Sword	
1402018	Wooden Samurai Sword	
1402019	Scimitar	
1402020	Lion's Fang	
1402021	Sparta	
1402022	Doombringer	
1402023	Heaven's Gate	
1402024	Scimitar	
1402025	Lion's Fang	
1402026	Sparta	
1402027	Doombringer	
1402028	Heaven's Gate	
1402029	Aluminum Bat	
1402030	Scimitar	#cInternet Cafe-only item. Disappears after exiting the game.\n#
1402031	Lion's Fang	#cInternet Cafe-only item. Disappears after exiting the game.\n#
1402032	Sparta	#cInternet Cafe-only item. Disappears after exiting the game.\n#
1402033	Doombringer	#cInternet Cafe-only item. Disappears after exiting the game.\n#
1402034	Heaven's Gate	#cInternet Cafe-only item. Disappears after exiting the game.\n#
1402035	The Beheader	
1402036	Dragon Claymore	
1402037	Stonetooth Sword	
1402039	Maple Soul Rohen	
1402040	Maple 1500 Anniv. Flag	
1402041	Pink Flower Tube	
1402044	Pumpkin Lantern	
1402045	Tiger's Fang	
1412000	Two-Handed Axe	
1412001	Metal Axe	
1412002	Iron Axe	
1412003	The Rising	
1412004	Niam	
1412005	Sabretooth	
1412006	Blue Axe	
1412007	The Shining	
1412008	Chrono	
1412009	Helios	
1412010	Colonian Axe	
1412011	Maple Dragon Axe	
1412012	Iron Axe	
1412013	The Rising	
1412014	The Shining	
1412015	Chrono	
1412016	Helios	
1412017	The Rising	
1412018	The Shining	
1412019	Chrono	
1412020	Helios	
1412021	Tavar	
1412022	The Rising	#cInternet Cafe-only item. Disappears after exiting the game.\n#
1412023	The Shining	#cInternet Cafe-only item. Disappears after exiting the game.\n#
1412024	Chrono	#cInternet Cafe-only item. Disappears after exiting the game.\n#
1412025	Helios	#cInternet Cafe-only item. Disappears after exiting the game.\n#
1412026	Dragon Battle Axe	
1412027	Maple Demon Axe	
1412028	Maple 1500 Anniv. Flag	
1412029	Pink Flower Tube	
1412032	Crescent Moon	One of the Glimmer Man's custom weapons, this deadly axe is known to decimate foes in the blink of an eye.
1422000	Wooden Mallet	
1422001	Mithril Maul	
1422002	Heavy Mace	
1422003	Square Hammer	
1422004	Monkey Wrench	
1422005	Golden Mole	
1422006	Pickaxe	
1422007	Titan	
1422008	Sledgehammer	
1422009	The Blessing	
1422010	Gigantic Sledge	
1422011	Sake Bottle	
1422012	The Morningstar	
1422013	Leomite	
1422014	Maple Doom Singer	
1422015	Golden Mole	
1422016	The Blessing	
1422017	Gigantic Sledge	
1422018	The Morningstar	
1422019	Golden Mole	
1422020	The Blessing	
1422021	Gigantic Sledge	
1422022	The Morningstar	
1422023	Golden Mole	#cInternet Cafe-only item. Disappears after exiting the game.\n#
1422024	The Blessing	#cInternet Cafe-only item. Disappears after exiting the game.\n#
1422025	Gigantic Sledge	#cInternet Cafe-only item. Disappears after exiting the game.\n#
1422026	The Morningstar	#cInternet Cafe-only item. Disappears after exiting the game.\n#
1422027	Golden Smith Hammer	
1422028	Dragon Flame	
1422029	Maple Belzet	
1422032	Maple 1500 Anniv. Flag	
1422033	Pink Flower Tube	
1422036	Toymaker Hammer	
1432000	Spear	
1432001	Fork on a Stick	
1432002	Forked Spear	
1432003	Nakamaki	
1432004	Serpent's Tongue	
1432005	Zeco	
1432006	Holy Spear	
1432007	Redemption	
1432008	Fish Spear	
1432009	Bamboo Spear	
1432010	Omega Spear	
1432011	Fairfrozen	
1432012	Maple Impaler	
1432013	Pumpkin Spear	
1432014	Fish Spear	
1432015	Red Ski	
1432016	Orange Ski	
1432017	Green Ski	
1432018	Sky Ski	
1432019	Forked Spear	
1432020	Serpent's Tongue	
1432021	Holy Spear	
1432022	Redemption	
1432023	Omega Spear	
1432024	Forked Spear	
1432025	Serpent's Tongue	
1432026	Holy Spear	
1432027	Redemption	
1432028	Omega Spear	
1432030	Pinaka	
1432031	Forked Spear	#cInternet Cafe-only item. Disappears after exiting the game.\n#
1432032	Serpent's Tongue	#cInternet Cafe-only item. Disappears after exiting the game.\n#
1432033	Holy Spear	#cInternet Cafe-only item. Disappears after exiting the game.\n#
1432034	Redemption	#cInternet Cafe-only item. Disappears after exiting the game.\n#
1432035	Omega Spear	#cInternet Cafe-only item. Disappears after exiting the game.\n#
1432038	Dragon Faltizan	
1432039	Fishing Pole	
1432040	Maple Soul Spear	
1432041	Maple 1500 Anniv. Flag	
1432042	Pink Flower Tube	
1432043	Singapore Flag (Spear)	
1432044	Malaysia Flag (Spear)	
1432045	Sunspear	One of the Glimmer Man's custom weapons, this spear contains the fiery power of a blazing red sun.
1432046	Maplemas Tree	
1442000	Pole Arm	
1442001	Mithril Pole Arm	
1442002	Eviscerator	
1442003	Axe Pole Arm	
1442004	Janitor's Mop	
1442005	The Nine Dragons	
1442006	Iron Ball	
1442007	Studded Polearm	
1442008	The Gold Dragon	
1442009	Crescent Polearm	
1442010	Skylar	
1442011	Surfboard	
1442012	Sky Snowboard	
1442013	Aqua Snowboard	
