Levels 1-10			
ID	Name	Level	HP
9400504	Coolie Zombie (Undead)	1	600
9400202	Golden Slime	1	100
9500400	Gourd (Boss)	1	10,000
9500000	Making a wish to full moon (Boss)	1	100,000
9400500	Malady (Boss)	1	4,200
100100	Snail	1	8
9400567	Loki Box Tr	1	3
9400566	Loki Box Ex	1	100,000
9409001	Tutorial Drumming Rabbit	1	8
9300018	Tutorial Jr. Sentinel	1	8
9409000	Tutorial Leatty	1	8
8810024	Summon Horned Tail's Left Head	1	40,000
8810025	Summon Horned Tail's Right Head	1	40,000
8810026	Summon Horned Tail	1	40,000
8810018	Horned Tail	1	2,090,000,000
100101	Blue Snail	2	15
120100	Shroom	2	20
130101	Red Snail	4	45
130100	Stump	4	65
9400501	Jr. Wraith (Undead)	5	600
9400503	Stirge (Boss)	5	300
9400502	Wraith (Undead Boss)	5	2,800
210100	Slime	6	50
9300063	Stirge	6	60
9400505	Turkey	6	50
1210100	Pig	7	75
9500203	Zoo Pig (Boss)	7	10,000
9300062	Flyeye	8	80
9420001	Frog	8	75
1210102	Orange Mushroom	8	80
9400513	Candle Mob (2nd)	10	250
9400506	Candle Monster	10	550
9500144	Coke Snail	10	120
1210101	Ribbon Pig	10	120
1110101	Dark Stump	10	250
9500204	Zoo Ribbon Pig (Boss)	10	10,000
			
			
			
Levels 11-20			
ID	Name	Level	HP
9300064	Goblin Fire	11	155
9400511	Yellow Eggy Pop	11	250
1120100	Octopus	12	200
9400005	???	15	275
1210103	Bubbling	15	240
9500151	Coke Slime	15	240
1110100	Green Mushroom	15	250
9420005	White Rooster	15	230
1130100	Axe Stump	17	300
1140100	Ghost Stump	19	330
9400538	Street Slime	19	320
2220100	Blue Mushroom	20	350
9500152	Coke Mushroom	20	350
2100100	Desert Rabbit (F)	20	350
9600001	Rooster	20	340
2300100	Stirge	20	300
9400568	Turkey Commando	20	350
			
			
			
Levels 21-30			
ID	Name	Level	HP
2100101	Desert Rabbit (M)	21	400
2130103	Jr. Necki	21	285
9400539	Urban Fungus	21	350
9400565	Glutton Ghoul	21	300
9600002	Duck	22	380
2110200	Horny Mushroom	22	300
2130100	Dark Axe Stump	22	550
2230108	Pinboom	22	400
9300027	Devil Slime	23	1,000
5200000	Jr. Sentinel	23	600
2230105	Seacle	23	500
2230103	Trixter	23	450
2230110	Wooden Mask	23	500
2230107	Krappy	24	500
2230111	Rocky Mask	24	600
2230101	Zombie Mushroom (Undead)	24	500
2230106	Cico	25	550
9500153	Coketump	25	560
9400000	Crow	25	550
9400540	Killa Bee	25	730
9600003	Sheep	25	550
2230102	Wild Boar	25	550
9420004	Yellow Lizard	25	500
9400547	Boomer	27	700
2230100	Evil Eye	27	720
9400508	Mad Turkey	27	720
2230109	Bubble Fish	28	740
2230104	Green Trixter	28	780
9420000	Toad	28	720
2230200	Flower Fish	29	790
9400006	???	30	1,050
3000005	Brown Teddy	30	950
9400512	Cake Mob (2nd)	30	950
9400507	Cake Monster	30	1,200
9400002	Cloud Fox	30	920
9500154	Coketump Lite	30	930
3230400	Drumming Bunny	30	950
3000001	Fairy	30	800
9400001	Fire Raccoon	30	900
5200002	Fire Sentinel	30	900
9600004	Goat	30	900
5200001	Ice Sentinel	30	900
9500169	Fake Jr. Balrog (Boss)	30	3,094
3000006	Krip	30	900
9400518	Magik Fierry B	30	800
9400548	Mighty Maple Eater	30	950
9300061	Moon Bunny	30	5,000
3000000	Sentinel	30	900
9400557	Psycho Jack Box	30	10
9400558	Psycho Jack	30	850
9300093	Tylus	30	100,000
			
			
			
Levels 31-40			
ID	Name	Level	HP
3230307	Chirppy	31	800
3210100	Fire Boar	32	1,000
5300000	Leatty	32	1,000
3110100	Ligator	32	1,200
3230104	Mask Fish	32	1,000
3110101	Pink Teddy	32	1,050
3110102	Ratz	32	1,000
9300005	Ratz from Another Dimension	32	3,700
9600006	Cow	33	1,200
5300001	Dark Leatty	33	1,100
3210200	Jr. Cellion	33	1,100
3210202	Jr. Grupin	33	1,100
3210201	Jr. Lioner	33	1,100
9400509	Sakura Cellion	33	1,100
3210205	Black Ratz	34	1,150
9300006	Black Ratz from Another Dimension	34	4,300
3210204	Roloduck	34	1,200
3210207	Tick	34	1,100
9600005	Black Goat	35	1,250
3230302	Bloctopus	35	1,300
9300007	Bloctopus from Another Dimension	35	4,900
6130104	Boogie	35	14,800
9500143	Coke Pig	35	1,400
3230100	Curse Eye	35	1,250
9400519	G Slime	35	1,300
9400510	Green Eggy Popp	35	1,250
3230300	Jr. Boogie	35	1,700
5400000	Jr. Pepe	35	1,400
3230101	Jr. Wraith (Undead)	35	1,200
9400520	P Slime	35	1,300
3230200	Star Pixie	35	1,300
9400542	Fire Tusk	36	1,450
3210206	Helly	36	1,350
3210203	Panda Teddy	36	1,400
3210208	Retz	36	1,400
3210450	Scuba Pepe	36	1,430
9600008	Black Sheep	37	1,500
3230306	Chronos (Undead)	37	1,750
9300015	Cronos (Undead)	37	2,750
3230102	Lorang	37	1,950
3210800	Lupin	37	1,500
3230303	Propelly	37	1,700
9400522	B Slime 	38	1,850
9500145	Coke Seal	38	1,850
9400515	Indigo Eye	38	1,550
3230405	Jr. Seal	38	1,850
9500114	King Blockpus	38	1,850
9400521	O Slime	38	1,850
3230304	Planey	38	1,830
9600007	Plow Ox	38	1,800
3230305	Toy Trojan	39	1,920
3230308	Tweeter	39	1,900
4230116	Barnard Gray	40	1,930
9400011	Paper Lantern Ghost	40	1,920
9300009	Block Golem from Another Dimension	40	6,500
4230500	Chipmunk	40	1,900
9400563	Nightmare	40	1,930
4230100	Cold Eye	40	2,000
9400516	Crystal Boar	40	1,900
9400532	King Slime	40	8,000
9400517	Magik Fierry A	40	1,930
4230201	Poison Poopa	40	1,910
4230200	Poopa	40	1,900
9420003	Red Lizard	40	1,920
9400203	Siver Slime (Gives 20,000 EXP)	40	800
4230113	Tick-Tock	40	1,900
4230101	Zombie Lupin (Undead)	40	1,800
			
			
			
Levels 41-50			
ID	Name	Level	HP
9400543	Electrophant	41	1,600
4230107	Flyeye	41	1,600
4230119	Mateon	41	2,080
4230114	Platoon Chronos (Undead)	41	2,050
9300016	Platoon Cronos (Undead)	41	3,050
4230501	Red Porky	41	2,000
4230111	Robo	41	2,000
4230109	Block Golem	42	2,400
4230124	Freezer	42	2,300
4230103	Iron Hog	42	2,200
9300060	Iron Hog	42	1,100
4230105	Nependeath	42	2,100
9500146	Play Seal	42	2,250
4230117	Zeta Gray	42	2,300
